"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
4488988,2421848,"HH740878","10/24/2002 01:55:00 AM","001XX W 107TH ST","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,512,5,34,49,"02",1177414,1834006,2002,"04/15/2016 08:55:02 AM",41.699838377,-87.625998825,"(41.699838377, -87.625998825)"
4489222,2422124,"HH740439","10/26/2002 08:00:00 PM","113XX S MORGAN ST","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","OTHER",FALSE,FALSE,2234,22,34,75,"02",1171691,1829389,2002,"04/15/2016 08:55:02 AM",41.687295671,-87.647088717,"(41.687295671, -87.647088717)"
4489427,2422367,"HH738862","10/25/2002 11:00:00 PM","020XX W NORTH AVE","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","ALLEY",FALSE,FALSE,1434,14,32,24,"02",1162537,1910646,2002,"04/15/2016 08:55:02 AM",41.91047031,-87.678333766,"(41.91047031, -87.678333766)"
4489711,2422735,"HH742150","10/18/2002 03:00:00 AM","031XX N CHRISTIANA AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","APARTMENT",FALSE,FALSE,1412,14,35,21,"02",1153507,1920743,2002,"04/15/2016 08:55:02 AM",41.938361744,-87.711237587,"(41.938361744, -87.711237587)"
4489944,2423013,"HH739938","10/26/2002 03:33:30 PM","006XX W ALDINE AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,2332,19,44,6,"02",1171349,1922151,2002,"04/15/2016 08:55:02 AM",41.941851339,-87.645623028,"(41.941851339, -87.645623028)"
4489989,2423069,"HH739574","10/26/2002 07:30:00 AM","043XX N ST LOUIS AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","APARTMENT",FALSE,FALSE,1723,17,33,16,"02",1152278,1928537,2002,"04/15/2016 08:55:02 AM",41.959773433,-87.71554799,"(41.959773433, -87.71554799)"
4490110,2423228,"HH738569","07/01/2002 04:00:00 AM","025XX W WINNEMAC AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,2031,20,40,4,"02",1158483,1933392,2002,"04/15/2016 08:55:02 AM",41.972970787,-87.692602057,"(41.972970787, -87.692602057)"
4490152,2423278,"HH742237","10/25/2002 03:30:00 PM","039XX W 67TH PL","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","OTHER",FALSE,FALSE,833,8,13,65,"02",1151317,1859551,2002,"04/15/2016 08:55:02 AM",41.770486843,-87.720890445,"(41.770486843, -87.720890445)"
4490229,2423370,"HH741078","10/27/2002 03:30:58 AM","005XX E 90TH ST","0263","CRIM SEXUAL ASSAULT","AGGRAVATED: KNIFE/CUT INSTR","ALLEY",FALSE,FALSE,633,6,6,44,"02",1181318,1845420,2002,"04/15/2016 08:55:02 AM",41.731070963,-87.611353652,"(41.731070963, -87.611353652)"
4490254,2423398,"HH739451","10/26/2002 10:45:54 AM","006XX W 120TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,523,5,34,53,"02",1174388,1825310,2002,"04/15/2016 08:55:02 AM",41.676042869,-87.637335996,"(41.676042869, -87.637335996)"
4490262,2423406,"HH739779","10/26/2002 03:00:00 AM","047XX W NORTH AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY",FALSE,FALSE,2533,25,37,25,"02",1144702,1910218,2002,"04/15/2016 08:55:02 AM",41.909650876,-87.74386414,"(41.909650876, -87.74386414)"
4490331,2423499,"HH741087","10/27/2002 03:32:38 AM","075XX S HALSTED ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","STREET",TRUE,FALSE,621,6,17,68,"02",1172272,1854914,2002,"04/15/2016 08:55:02 AM",41.757327195,-87.644213747,"(41.757327195, -87.644213747)"
4490856,2499085,"HH839678","04/30/2001 12:00:00 AM","114XX S FOREST AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,531,5,9,49,"02",1180250,1829067,2001,"08/17/2015 03:03:40 PM",41.686220686,-87.615765297,"(41.686220686, -87.615765297)"
4491078,2424455,"HH739718","10/25/2002 08:00:00 PM","015XX W 80TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY",FALSE,FALSE,612,6,21,71,"02",1167288,1851673,2002,"04/15/2016 08:55:02 AM",41.748541547,-87.66257199,"(41.748541547, -87.66257199)"
4491130,2424539,"HH744409","01/01/2002 12:00:00 AM","076XX S PAULINA ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,611,6,17,71,"02",1166339,1853977,2002,"04/15/2016 08:55:02 AM",41.754884296,-87.665983984,"(41.754884296, -87.665983984)"
4491149,2424566,"HH744609","06/04/2002 02:40:00 PM","0000X N KEDZIE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1331,12,28,27,"02",1155039,1900265,2002,"04/15/2016 08:55:02 AM",41.882137696,-87.706157436,"(41.882137696, -87.706157436)"
4491498,2425005,"HH742814","10/26/2002 12:30:00 PM","048XX N DAMEN AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","OTHER",FALSE,FALSE,2032,20,47,4,"02",1162138,1932049,2002,"04/15/2016 08:55:02 AM",41.969209738,-87.679199562,"(41.969209738, -87.679199562)"
4491901,2425504,"HH741507","10/26/2002 10:30:00 PM","043XX W ADAMS ST","0263","CRIM SEXUAL ASSAULT","AGGRAVATED: KNIFE/CUT INSTR","RESIDENCE",FALSE,FALSE,1115,11,28,26,"02",1147463,1898658,2002,"04/15/2016 08:55:02 AM",41.877876463,-87.734017928,"(41.877876463, -87.734017928)"
4492877,2426777,"HH746861","10/29/2002 06:50:00 AM","036XX W 63RD ST","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","SIDEWALK",FALSE,FALSE,823,8,13,65,"02",1153167,1862593,2002,"04/15/2016 08:55:02 AM",41.778798214,-87.714028699,"(41.778798214, -87.714028699)"
4493520,2427547,"HH744896","10/28/2002 04:00:00 PM","039XX W 19TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,1014,10,24,29,"02",1150204,1890342,2002,"04/15/2016 08:55:02 AM",41.855003423,-87.724170238,"(41.855003423, -87.724170238)"
4493621,2427671,"HH745312","10/29/2002 08:35:30 AM","078XX S OGLESBY AVE","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","ALLEY",FALSE,FALSE,414,4,7,43,"02",1193225,1853542,2002,"04/15/2016 08:55:02 AM",41.753076082,-87.567469931,"(41.753076082, -87.567469931)"
4493698,2427780,"HH746075","10/29/2002 01:00:00 AM","077XX S EXCHANGE AVE","0264","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER DANG WEAPON","STREET",FALSE,FALSE,421,4,7,43,"02",1196331,1854331,2002,"04/15/2016 08:55:02 AM",41.755164721,-87.556061767,"(41.755164721, -87.556061767)"
4493751,2427846,"HH730759","10/18/2002 09:00:00 PM","002XX N CENTRAL AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,TRUE,1512,15,29,25,"02",1139005,1901053,2002,"04/15/2016 08:55:02 AM",41.884606524,-87.765015813,"(41.884606524, -87.765015813)"
4493770,2427867,"HH744985","10/29/2002 12:01:00 AM","057XX S LAKE SHORE DR","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","PARKING LOT/GARAGE(NON.RESID.)",FALSE,FALSE,331,3,5,41,"02",1189729,1867390,2002,"04/15/2016 08:55:02 AM",41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
4494342,2428613,"HH749012","09/23/2002 04:00:00 PM","060XX N RICHMOND ST","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,FALSE,2413,24,50,2,"02",1155592,1939934,2002,"04/15/2016 08:55:02 AM",41.990981207,-87.70305589,"(41.990981207, -87.70305589)"
4494762,2429164,"HH747225","10/30/2002 03:15:00 AM","078XX S LANGLEY AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,624,6,6,69,"02",1182253,1853216,2002,"04/15/2016 08:55:02 AM",41.752442485,-87.60768762,"(41.752442485, -87.60768762)"
4494837,2429263,"HH748447","10/30/2002 03:30:00 PM","080XX S EUCLID AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","ALLEY",FALSE,FALSE,414,4,8,46,"02",1190593,1852149,2002,"04/15/2016 08:55:02 AM",41.749317455,-87.577159884,"(41.749317455, -87.577159884)"
4496550,2431406,"HH750093","10/31/2002 11:36:57 AM","025XX E 79TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","CHURCH/SYNAGOGUE/PLACE OF WORSHIP",FALSE,FALSE,421,4,7,43,"02",1194370,1853076,2002,"04/15/2016 08:55:02 AM",41.751769296,-87.563289319,"(41.751769296, -87.563289319)"
4497022,2431983,"HH752015","07/01/2002 12:00:00 AM","085XX S ELIZABETH ST","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,613,6,21,71,"02",1169484,1848067,2002,"04/15/2016 08:55:02 AM",41.738598925,-87.654629284,"(41.738598925, -87.654629284)"
4497574,2432732,"HH745408","10/24/2002 11:15:00 AM","003XX W 64TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","HOSPITAL BUILDING/GROUNDS",FALSE,FALSE,722,7,20,68,"02",1175044,1862506,2002,"04/15/2016 08:55:02 AM",41.778099133,-87.633828531,"(41.778099133, -87.633828531)"
4497586,2432751,"HH674173","08/02/2002 06:00:00 PM","025XX W EASTWOOD AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,1911,19,47,4,"02",1158537,1930747,2002,"04/15/2016 08:55:02 AM",41.965711664,-87.692476241,"(41.965711664, -87.692476241)"
4498324,2433676,"HH755422","11/02/2002 10:08:28 PM","058XX N AUSTIN AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,1622,16,45,11,"02",1135241,1938474,2002,"04/15/2016 08:55:02 AM",41.987361437,-87.777947754,"(41.987361437, -87.777947754)"
